Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PSg+R-APOSSPREP,862.0,0.26300366300366296,0.00347911742272124,0.0019067938404451058,0.003809018133677297,0.00025228200541259235,0.0011467410769298002,0.0,0.0,35,39
TRUNC-A,943.0,0.38168498168498166,0.0039042103948343796,0.006719480734310747,0.0060157539243783234,0.003376703385854728,0.005056402963622289,0.0049261083743842,0.0,35,39
O3PSg+R+I-AOBJES,884.5,0.29597069597069603,0.01232591097017258,0.0029901917741702627,0.003502682023190463,0.0012060947857585745,0.0024279030732378293,0.0020449897750511,0.0,35,39
MSTRUNC-A,903.0,0.32307692307692304,0.012979132587551045,0.005561147562813456,0.005441496435494122,0.0029207066962863974,0.004825030801192888,0.0047393364928909,0.0,35,39
O3PPl+R-ASUB,877.0,0.2849816849816851,0.014879918715370748,0.0031930741363898197,0.00444025834388132,0.001164977305983328,0.0024448804783743627,0.0019960079840319,0.0,35,39
O3PSg+R-APOSSPREPMS,801.0,0.17362637362637368,0.01778542792752385,0.0012131645712309686,0.0035069431516043235,0.00010841871306987435,0.0006770746461102952,0.0,0.0,35,39
O3PSg+R+I-AOBJ,885.0,0.29670329670329676,0.018676675792578496,0.004263925723695002,0.004378550124619716,0.002559563600573308,0.004610285497936458,0.0034965034965034,0.0,35,39
O3PPl+R-ASUBES,835.0,0.22344322344322354,0.025538335230338976,0.0019005852215785,0.00302298148862051,0.000596293987327205,0.0017487399182926936,0.0,0.0,35,39
O3PSg+R+I+ASUBES,580.0,-0.1501831501831502,0.04049226008842146,0.00013540961408259715,0.0008010940803113738,0.0009031797438730282,0.0021544622910429764,0.0,0.0,35,39
O1PSgPREP,859.5,0.2593406593406593,0.04222007732546696,0.004641527841592706,0.005677238050495032,0.002858513013420667,0.0046580952417550284,0.0040241448692152,0.0,35,39
O3PSg+R+I+A,524.0,-0.2322344322344322,0.04230621858187046,0.0011418668194966542,0.0026023110645882817,0.0029924633079682103,0.004791822448059617,0.0,0.0,35,39
O3PSg+R-APOSS,821.0,0.20293040293040288,0.06032867447961496,0.0033525691785285055,0.006725687533795509,0.001924914686985441,0.005008643805072408,0.0,0.0,35,39
O3PPl+R+APREPMS,741.0,0.08571428571428563,0.06612004317660389,0.00033014530017151997,0.0013182081134478548,0.0,0.0,0.0,0.0,35,39
O3PPl+R+APREP,741.0,0.08571428571428563,0.06612004317660389,0.00033014530017151997,0.0013182081134478548,0.0,0.0,0.0,0.0,35,39
ESTRUNC-A,790.0,0.15750915750915762,0.09904314334744745,0.00115833317149728,0.002204884632541708,0.00045599668956832303,0.0013778896540223501,0.0,0.0,35,39
O3PSg+R+I+APREPMS,630.0,-0.07692307692307687,0.09945295277524299,0.0,0.0,0.00037907619404614097,0.001364980835543893,0.0,0.0,35,39
O3PSg+R+I+APREP,630.0,-0.07692307692307687,0.09945295277524299,0.0,0.0,0.00037907619404614097,0.001364980835543893,0.0,0.0,35,39
O3PPl-R-AExpSUBES,630.0,-0.07692307692307687,0.09945295277524299,0.0,0.0,0.00030966506075844616,0.0012350644127075974,0.0,0.0,35,39
O1PSgPOSSPREP,830.0,0.21611721611721602,0.1037056836718216,0.006709612113382301,0.005957542869084394,0.005398933246188649,0.007348823385125924,0.0055401662049861,0.0021739130434782,35,39
O3PSg+R-ASUB,807.0,0.18241758241758244,0.11957114196926184,0.009167897724303922,0.01610541259387629,0.007085377617894692,0.014541591715684601,0.0,0.0,35,39
O3PPl+R-A,817.5,0.19780219780219777,0.12543288141480688,0.004817508877011083,0.006418939283068002,0.0025241119693279338,0.0031821425417136373,0.002415458937198,0.0,35,39
MSTRUNC,823.0,0.2058608058608058,0.1263416675540724,0.007881644870124306,0.00651239264915003,0.005825647934538912,0.0061788694979875375,0.0073529411764705,0.0058479532163742,35,39
O2PSg,550.0,-0.19413919413919412,0.1265796178832637,0.006255499003139877,0.013199722563291374,0.007436499180290004,0.010453294838899192,0.0,0.0033333333333333,35,39
O3PPl,822.0,0.20439560439560434,0.12791243268157806,0.006828182533143566,0.006822125526764977,0.004664042185626623,0.00513525630216901,0.0047393364928909,0.0034602076124567,35,39
O3PSgExp,721.5,0.05714285714285716,0.1378724459136775,0.00023268593409235143,0.0010055460378666375,0.0,0.0,0.0,0.0,35,39
O2PSg-R-A,721.5,0.05714285714285716,0.1378724459136775,0.00019742628438280287,0.0008794352688594512,0.0,0.0,0.0,0.0,35,39
O2PSg-R-AGen,721.5,0.05714285714285716,0.1378724459136775,0.00019742628438280287,0.0008794352688594512,0.0,0.0,0.0,0.0,35,39
O3PPl+R-APOSSPREP,721.5,0.05714285714285716,0.1378724459136775,0.00022082055980360572,0.001007835441848712,0.0,0.0,0.0,0.0,35,39
N1PSgSUBMS,721.5,0.05714285714285716,0.1378724459136775,0.00014295913304879712,0.0005995064665288218,0.0,0.0,0.0,0.0,35,39
O2PSg-R,721.5,0.05714285714285716,0.1378724459136775,0.00019742628438280287,0.0008794352688594512,0.0,0.0,0.0,0.0,35,39
O3PPl+R-APOSSPREPMS,721.5,0.05714285714285716,0.1378724459136775,0.00014011030960183143,0.0005844805431738671,0.0,0.0,0.0,0.0,35,39
O2PSg-R-AGenSUB,721.5,0.05714285714285716,0.1378724459136775,0.00019742628438280287,0.0008794352688594512,0.0,0.0,0.0,0.0,35,39
O3PPl+R-APOSSMS,721.5,0.05714285714285716,0.1378724459136775,0.00015985548170157428,0.0006588493817436622,0.0,0.0,0.0,0.0,35,39
O3PPl+R,816.0,0.19560439560439558,0.14196138272654757,0.006395364195304949,0.0070007519917229,0.004203328968704928,0.0049516516653083575,0.00418410041841,0.0033222591362126,35,39
O3PPl+R-APOSS,742.0,0.08717948717948709,0.1421027979517495,0.00044968915399655436,0.001558381354444057,0.00011655011655011538,0.0007278552445685705,0.0,0.0,35,39
O3PPl+R-AOBJMS,742.0,0.08717948717948709,0.1421027979517495,0.0003510776955196057,0.0010267417783640612,8.547008547008462e-05,0.0005337605126836183,0.0,0.0,35,39
O,818.0,0.1985347985347985,0.14385186965485364,0.14311981885626346,0.031708732895069154,0.12859884846767025,0.04001590021083448,0.1433021806853582,0.1286549707602339,35,39
O3PSg+R-A,804.0,0.17802197802197806,0.14730370702595566,0.01670074839371481,0.027465433868062234,0.012280499557847609,0.023493397211333884,0.0046948356807511,0.0,35,39
O3PPl+R-ASUBMS,772.0,0.1311355311355311,0.15853926263619522,0.0012924889148113173,0.002601881818386715,0.000568683318656123,0.0017544727894179975,0.0,0.0,35,39
O3PSg+R-ASUBMS,792.5,0.16117216117216127,0.1644510230033258,0.005386581934598286,0.010037067875646472,0.0038738798859174464,0.007960691977621018,0.0,0.0,35,39
O3PSg+R-APOSSPREPES,748.0,0.09597069597069607,0.16575745175483225,0.0005556030442313858,0.001423396629538796,0.00014386329234271537,0.0006466118317724576,0.0,0.0,35,39
O3PSg+R+I+ASUB,594.0,-0.12967032967032965,0.1749062538648859,0.0005745970384806944,0.001491504266479826,0.0019509148155548999,0.004147970194280382,0.0,0.0,35,39
O2PSgGenSUB,605.0,-0.1135531135531136,0.17795382758549072,0.0012627749871208572,0.0053793929089677546,0.0018642311261689742,0.004734609458246579,0.0,0.0,35,39
N3PSg-R-AExpSUB,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00021254361572113848,0.0010021961242950553,0.0,0.0,35,39
N2P,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00022031414436477436,0.0010418503345636103,0.0,0.0,35,39
N3PSg+R+I,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00029550573696125385,0.0013917410067422389,0.0,0.0,35,39
N3PSg+R+I+ASUB,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00029550573696125385,0.0013917410067422389,0.0,0.0,35,39
N3PSg+R+I+ASUBMS,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00029550573696125385,0.0013917410067422389,0.0,0.0,35,39
N3PSg-R-A,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00021254361572113848,0.0010021961242950553,0.0,0.0,35,39
O2PSgGenPOSS,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.0005351836038166128,0.0024889492060774275,0.0,0.0,35,39
N3PSg-R-AExp,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00021254361572113848,0.0010021961242950553,0.0,0.0,35,39
N3PSg+R+I+A,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00029550573696125385,0.0013917410067422389,0.0,0.0,35,39
N2PSg,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00022031414436477436,0.0010418503345636103,0.0,0.0,35,39
N3PSg-R,647.5,-0.05128205128205132,0.18364889654604954,0.0,0.0,0.00021254361572113848,0.0010021961242950553,0.0,0.0,35,39
TRUNC,803.5,0.17728937728937733,0.18977047006703363,0.010099155667498926,0.007460375754687315,0.007969421667672012,0.007783178803511838,0.0093896713615023,0.0066225165562913,35,39
O2PPlSUB,744.0,0.09010989010989001,0.1933696291256478,0.0005307536802051485,0.00147541384591901,0.00017094207029650513,0.0007448655214584396,0.0,0.0,35,39
O2P,567.0,-0.16923076923076918,0.19406991397748374,0.007108072035415398,0.013656933230499685,0.00808011672326198,0.010982149894010914,0.0,0.0034602076124567,35,39
O3PSg+R+A,634.0,-0.07106227106227103,0.23235698049948095,0.0018907563025210084,0.011185865136112728,0.0013214461898842357,0.004893861271897365,0.0,0.0,35,39
O3PSg+R+I-A,785.0,0.1501831501831501,0.26815819428500387,0.010549182556333785,0.007646835077620979,0.009303802735409988,0.009673310285166464,0.0088495575221238,0.0069930069930069,35,39
O2PSgGen,618.5,-0.09377289377289377,0.2840823965209105,0.0013202627709667887,0.005376251402229929,0.00274423282863239,0.0076606437304095444,0.0,0.0,35,39
O3PSg+R-APREP,747.0,0.09450549450549461,0.2961621308490179,0.0009499932934580656,0.002057115906180224,0.0006604287644510846,0.0019999044609708802,0.0,0.0,35,39
O1PSgOBJ,776.5,0.13772893772893768,0.2964038069459489,0.005787578001348617,0.005885950601463485,0.005040092504345337,0.006551604230071318,0.0041152263374485,0.0020325203252032,35,39
O2PSg-R-AGenSUBMS,702.0,0.02857142857142847,0.3037002443347643,5.9400059400057146e-05,0.00035141549053159423,0.0,0.0,0.0,0.0,35,39
O1PPl-R-AGenSUBES,702.0,0.02857142857142847,0.3037002443347643,5.9400059400057146e-05,0.00035141549053159423,0.0,0.0,0.0,0.0,35,39
O3PSg-R-AExpPREPES,702.0,0.02857142857142847,0.3037002443347643,8.900756564307715e-05,0.0005265758596439208,0.0,0.0,0.0,0.0,35,39
N3PPl+R-ASUBMS,702.0,0.02857142857142847,0.3037002443347643,7.91452314998e-05,0.00046822950400470556,0.0,0.0,0.0,0.0,35,39
O3PSg+R+I-APOSSES,702.0,0.02857142857142847,0.3037002443347643,5.854800936768e-05,0.0003463746945608584,0.0,0.0,0.0,0.0,35,39
O3PSg+R+I-APOSS,702.0,0.02857142857142847,0.3037002443347643,5.854800936768e-05,0.0003463746945608584,0.0,0.0,0.0,0.0,35,39
O3PSg-R-AExpPREP,702.0,0.02857142857142847,0.3037002443347643,8.900756564307715e-05,0.0005265758596439208,0.0,0.0,0.0,0.0,35,39
O3PSg-R+ASUB,702.0,0.02857142857142847,0.3037002443347643,5.7487783845931434e-05,0.00034010231578611563,0.0,0.0,0.0,0.0,35,39
O3PPl+R-APOSSPREPES,702.0,0.02857142857142847,0.3037002443347643,8.071025020177429e-05,0.00047748827950762856,0.0,0.0,0.0,0.0,35,39
