Variable,Group0_W,Group0_p,Group1_W,Group1_p
O,0.9803179809945523,0.7694689348071176,0.9488883838051664,0.07538698176197907
O1P,0.981342091345161,0.8019597850571278,0.9340861979300602,0.024349408124079656
O1PSg,0.9651829192747887,0.32506466267833134,0.9358171440569623,0.02772699792027726
O1PSgSUB,0.9832248923822045,0.8578459423732819,0.9526505930347892,0.10095142535543783
O1PSgPOSS,0.9723755489335992,0.5117532992656196,0.9086861405951356,0.00395225319247999
O1PSgPOSSPREP,0.8979670463768407,0.003488154232576132,0.7651962093165854,1.7368748826164996e-06
O3P,0.8758805188766458,0.0009449673132454709,0.8926728822552911,0.0013693730896049171
O3PSg,0.8643975934629302,0.0004979074312529891,0.8647566928113142,0.00024937760511247543
O3PSg+R,0.8463813853975467,0.00019108037248399164,0.8376510150125762,5.5485493141685475e-05
O3PSg+R+I,0.9537708126361274,0.14792397400621304,0.894802645550623,0.0015708653565516062
O3PSg+R+I-A,0.9465162562492232,0.08856294393961096,0.8292581013463953,3.576004103250499e-05
O3PSg+R+I-AOBJ,0.8734133531161373,0.0008217043884322297,0.6337250615699563,1.2384438100524809e-08
O3PSg+R+I-AOBJMS,0.5213705959487921,1.5673369081176295e-09,0.4368153443996273,4.62023025435036e-11
O3PSg+R+I-AOBJES,0.8180242891805258,4.697281950457206e-05,0.5740561122252056,1.90761283877711e-09
O3PSg+R-A,0.6691731084298095,1.278835108467029e-07,0.6065987165688052,5.171324682321426e-09
O3PSg+R-AOBJ,0.6011358618566709,1.4796051281313322e-08,0.602690822926739,4.574867132512834e-09
O3PSg+R-AOBJES,0.6163101084563122,2.3424997703987342e-08,0.6170568279474989,7.206961600745797e-09
O3PSg-R,0.918568005100952,0.012967033931027003,0.8670669116618854,0.00028529631441957386
O3PSg-R-A,0.9244269592068639,0.019163923296686432,0.8571843703359232,0.00016163812552558732
O3PSg-R-AExp,0.9207062999571012,0.014940970724995678,0.850744690312996,0.00011275969172836351
O3PSg-R-AExpSUB,0.9060225707768785,0.005763558984782543,0.8315931333421605,4.0362526150777146e-05
O3PSg-R-AExpSUBMS,0.8415097513681548,0.00014885982451729146,0.751467376276959,9.678986296097245e-07
MS,0.9753550967352069,0.6055377461240302,0.9815348887016074,0.7588192932928757
MSTRUNC,0.9173201644835267,0.011943484824563543,0.8290822978946326,3.543680056337704e-05
MSTRUNC-A,0.8726523148122982,0.0007872160475902822,0.6487541861323947,2.0458043856681828e-08
TRUNC,0.9243899571582097,0.01911626201024567,0.8834020892817166,0.0007629282479459151
TRUNC-A,0.8985219462905627,0.003609278502420394,0.6982824215873562,1.1863775010871377e-07
CS,0.9640534314394481,0.30145331203070025,0.9770973230166786,0.598694059964119
ES,0.949116384850464,0.10645084373484204,0.9760356092811991,0.5614912091956105
O1PSgPREP,0.727844750895482,1.0378412997686812e-06,0.6836242065235252,6.927628521091292e-08
O3PSg+R-ASUB,0.644223074265093,5.62737663147301e-08,0.565624417225191,1.4854373488818669e-09
O3PSg+R-ASUBES,0.49865631345997996,8.658028290113967e-10,0.5128651886101652,3.327803274788095e-10
O3PSg+R-ASUBMS,0.6068081108019856,1.754496886100597e-08,0.5653625144114665,1.4740166814046678e-09
N,0.8182918721729775,4.757315316044874e-05,0.5207275735588963,4.1293290800340053e-10
N3P,0.5031382883966626,9.7196205418535e-10,0.2917770491474262,1.696783774024169e-12
N3PSg,0.4683677831161681,4.0330947091285465e-10,0.2713287135020277,1.1078464258549232e-12
N3PSg+R,0.474695787051429,4.719347709053518e-10,0.2773562855658692,1.2550685270911994e-12
N3PSg+R-A,0.4299801126575068,1.5959981119092388e-10,0.35466323134687705,6.6657215269133666e-12
N3PSg+R-ASUB,0.4299801126575068,1.5959981119092388e-10,0.35466323134687705,6.6657215269133666e-12
N3PSg+R-ASUBMS,0.34730293776268706,2.4841724558378678e-11,0.30482098477577935,2.237288286868918e-12
N3PSg+R-ASUBES,0.2537732619682086,3.655925946099001e-12,0.14967652309572388,1.0318425192153712e-13
O3PSg+R-AOBJMS,0.469080579782044,4.104856305376175e-10,0.4714784916734319,1.1092112694066689e-10
O1PSgOBJ,0.8776543090107081,0.0010456245657240518,0.7779128833042509,3.0395804006927105e-06
O3PPl,0.8414169846422919,0.00014815913755622054,0.8473875708981342,9.374340013357422e-05
O3PPl+R,0.8238625766805632,6.210862263459806e-05,0.8259605875190169,3.0184330124267964e-05
O3PPl+R+A,0.39369974434532673,6.905711200397816e-11,0.4875609289857924,1.6877232740948794e-10
O3PPl+R+APREP,0.2762170089263213,5.6976376987488476e-12,1.0,1.0
O3PPl+R+APREPMS,0.2762170089263213,5.6976376987488476e-12,1.0,1.0
O3PSg+R+I-ASUB,0.7971719592782134,1.796728467129227e-05,0.7332754435709581,4.5899747068558847e-07
O3PSg+R+I-ASUBMS,0.7183544912515579,7.269754829083074e-07,0.6593931863470648,2.9431171455036322e-08
