Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Group0,Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PSg+R+I+A,103.0,-0.507177033492823,0.0017119034617130325,0.00046552692685837896,0.0011556630065591167,0.0046232530983672275,0.0057260050919379505,0.0005 (0.0012),0.0046 (0.0057),0.0,0.0033912333743346497,19,22
O3PSg+R-APOSSPREP,275.0,0.3157894736842106,0.005350653638939713,0.002235491605369847,0.004480102535727438,0.0,0.0,0.0022 (0.0045),0.0000 (0.0000),0.0,0.0,19,22
O3PSg+R-APOSSPREPMS,264.0,0.26315789473684204,0.012195173172026905,0.0015687543730781843,0.004120875214142958,0.0,0.0,0.0016 (0.0041),0.0000 (0.0000),0.0,0.0,19,22
O2PSgOBJ,152.0,-0.2727272727272727,0.016286151855132762,0.0,0.0,0.0011551990939265772,0.002438207190799671,0.0000 (0.0000),0.0012 (0.0024),0.0,0.0,19,22
O3PPl+R-ASUB,290.0,0.3875598086124401,0.016712375526000103,0.003920183025284026,0.004798538265938032,0.0009730346459354954,0.0020055518994218013,0.0039 (0.0048),0.0010 (0.0020),0.002079002079002,0.0,19,22
O2PSg,127.5,-0.38995215311004783,0.024311658967820712,0.004945314211451057,0.010661821906454764,0.010314978638035278,0.012082051910067603,0.0049 (0.0107),0.0103 (0.0121),0.0,0.00750117205813405,19,22
TRUNC-A,293.0,0.4019138755980862,0.026520218812398647,0.00802655886042797,0.006545823304472075,0.004194628465772977,0.005963972378912324,0.0080 (0.0065),0.0042 (0.0060),0.008130081300813,0.0029399019466229,19,22
O3PSg+R+I+ASUBES,161.5,-0.2272727272727273,0.03065503020765622,0.0,0.0,0.0012196183055900956,0.002529206195169061,0.0000 (0.0000),0.0012 (0.0025),0.0,0.0,19,22
O3PPl+R-ASUBES,273.5,0.30861244019138745,0.031945639409758274,0.0026408791107902264,0.003567620681652909,0.000577986447817109,0.0015669471330613778,0.0026 (0.0036),0.0006 (0.0016),0.0,0.0,19,22
MSTRUNC-A,286.0,0.368421052631579,0.04029765925413919,0.006261827661646522,0.005506258202475671,0.003498781949026959,0.005758996162853833,0.0063 (0.0055),0.0035 (0.0058),0.0059880239520958,0.0010869565217391,19,22
O2P,136.0,-0.34928229665071775,0.049223761467839716,0.006409731427102911,0.011884616783506895,0.011303915118515096,0.012732069439310479,0.0064 (0.0119),0.0113 (0.0127),0.0,0.00750117205813405,19,22
